0.35	0.00	4.53
0.35	0.00	4.56
0.46	0.00	4.35
0.48	0.00	4.39
0.47	0.00	4.40
0.49	0.00	4.25
0.48	0.00	4.17
0.46	0.00	4.32
0.46	0.00	4.27
0.52	0.00	4.18
0.43	0.00	4.03
0.57	0.00	3.92
0.67	0.00	3.87
0.40	0.00	4.06
0.43	0.00	4.05
0.42	0.00	4.05
0.38	0.00	3.97
0.37	0.00	3.97
0.38	0.00	4.23
0.37	0.00	4.19
0.34	0.00	4.04
0.83	6.52	3.66
1.12	0.42	3.93
1.30	0.00	3.92
0.62	0.38	3.91
0.60	0.00	3.97
0.48	0.00	4.15
0.36	0.00	4.18
0.39	0.00	4.27
0.29	0.00	4.48
0.24	0.00	4.38
0.42	0.00	4.71
0.33	0.00	4.54
0.41	0.00	4.64
0.43	0.00	4.53
0.33	0.00	4.54
0.43	0.70	4.39
0.58	0.00	4.48
0.60	0.00	4.56
0.36	0.00	4.58
0.33	0.00	4.62
0.27	0.00	4.67
0.42	0.00	4.51
0.35	0.06	4.49
0.38	0.00	4.46
0.31	0.00	4.36
0.35	0.00	4.19
0.40	0.00	4.34
0.53	0.00	4.39
0.50	0.00	4.47
0.39	0.29	4.45
0.31	0.00	4.48
0.29	0.00	4.51
0.20	0.00	4.45
0.24	1.56	4.51
0.24	0.00	4.23
0.21	0.00	4.65
0.21	0.00	4.53
0.22	0.00	4.77
0.22	0.00	4.69
0.16	0.00	4.62
0.18	0.00	4.58
0.17	0.00	4.63
0.19	0.00	4.68
0.17	3.49	4.21
0.20	11.34	4.25
0.52	4.76	3.91
0.77	2.17	4.03
0.88	15.45	3.95
1.30	0.50	4.22
0.85	1.67	4.30
0.47	0.00	4.54
0.37	0.00	4.45
0.33	0.00	4.72
0.29	0.00	4.84
0.24	0.00	4.83
0.19	0.00	4.83
0.18	0.00	5.00
0.22	0.00	4.92
0.22	0.00	4.84
0.20	0.00	4.83
0.18	0.00	4.84
0.19	0.00	4.75
0.18	0.00	4.77
0.19	0.00	4.63
0.16	0.00	4.80
0.13	0.00	4.73
0.14	0.00	4.62
0.16	0.00	4.79
0.18	0.00	4.73
0.16	0.00	5.22
0.12	0.00	5.18
0.09	0.00	5.18
0.07	0.00	5.12
0.09	0.00	5.17
0.13	0.00	5.11
0.13	0.00	5.27
0.12	0.00	5.19
0.12	0.00	5.16
0.12	0.00	5.16
0.11	0.00	4.92
0.11	0.00	4.76
0.12	0.74	5.01
0.14	0.00	5.10
0.30	0.00	5.05
0.13	1.16	5.04
0.22	0.00	4.99
0.33	0.40	5.08
0.40	0.11	5.12
0.30	0.00	5.00
0.34	2.48	5.09
0.31	0.00	5.00
0.21	1.14	5.25
0.20	1.06	5.21
0.37	3.59	5.20
0.41	1.78	5.10
0.65	1.29	5.12
0.43	0.33	4.85
0.26	4.63	5.11
0.26	18.19	5.22
0.37	1.36	5.02
0.41	0.17	4.63
0.31	0.71	4.44
0.26	0.17	4.51
0.26	0.00	4.90
0.20	0.10	5.09
0.22	2.25	5.04
0.20	0.00	5.01
0.16	0.00	4.88
0.16	1.97	4.93
0.16	4.15	5.03
0.16	14.44	5.25
0.64	5.56	4.91
1.06	3.47	4.62
1.19	4.80	4.62
1.07	7.90	4.77
0.76	4.22	4.49
0.41	6.47	4.41
0.34	0.17	4.04
0.37	0.60	4.29
0.74	0.35	4.71
0.57	4.08	4.05
0.61	0.19	4.53
0.52	13.73	4.63
0.26	7.71	4.60
0.56	6.79	4.57
0.34	3.79	4.52
0.46	4.52	4.47
0.44	17.30	4.83
0.57	3.11	4.28
0.52	13.33	4.19
0.61	10.48	3.94
1.31	37.90	3.87
10.87	53.00	3.02
2.72	6.81	3.83
1.41	5.05	4.13
1.94	7.74	3.92
1.66	9.83	3.81
1.49	3.99	4.10
1.39	5.20	4.06
1.09	1.61	4.32
1.35	2.32	4.42
0.65	1.13	3.97
0.64	14.83	4.30
0.92	22.35	4.15
1.13	8.37	3.82
1.09	8.83	3.35
0.95	16.31	3.66
17.37	64.08	3.99
10.49	32.95	3.19
34.30	107.35	3.34
47.20	70.47	3.31
49.58	62.27	2.83
46.87	52.64	3.19
46.63	51.68	2.98
34.86	59.89	2.90
32.96	44.21	3.13
31.55	39.11	3.25
27.66	39.17	3.09
29.61	60.95	3.22
23.28	18.50	3.26
19.35	14.24	3.57
14.22	11.47	3.25
13.07	11.33	3.50
10.50	9.50	3.46
13.75	6.44	3.48
12.05	7.55	3.82
10.55	18.16	3.63
16.58	38.16	3.57
11.80	10.97	2.90
15.94	40.06	3.45
41.43	96.73	2.99
44.37	46.34	3.20
38.38	22.76	3.71
23.41	15.73	3.42
16.98	17.79	3.56
12.44	5.58	3.94
12.12	13.90	3.81
11.06	21.55	3.53
6.79	17.16	3.66
6.49	5.85	3.49
5.98	6.41	3.67
6.19	22.29	3.67
6.83	15.57	3.77
13.75	18.13	3.70
7.40	19.70	3.67
7.23	31.85	3.59
7.27	5.17	3.79
6.59	28.45	3.72
5.16	11.56	3.28
7.63	10.80	3.79
4.52	14.68	3.44
8.04	22.83	3.22
8.02	20.59	3.59
14.80	23.28	3.18
18.68	22.93	3.65
16.89	19.35	3.45
16.03	13.63	3.49
17.20	15.09	3.55
19.28	24.47	3.57
22.94	25.78	3.06
22.73	32.49	3.37
33.96	41.23	3.35
54.91	82.28	3.36
59.59	64.13	3.27
78.11	66.64	3.23
71.26	36.74	3.39
56.95	66.50	3.64
49.53	43.80	2.99
40.79	16.26	3.29
26.80	9.66	3.34
19.34	8.18	3.22
17.02	5.81	3.23
10.42	2.80	3.67
11.53	2.15	3.77
9.24	5.39	3.76
8.32	0.94	3.69
9.18	18.14	4.05
10.86	37.94	3.46
13.30	36.16	2.75
20.61	22.68	3.15
18.18	11.66	3.00
12.33	8.14	3.36
8.98	4.82	3.27
8.69	6.46	3.30
6.95	1.52	3.17
8.50	4.03	3.64
8.12	11.51	3.48
12.08	9.00	3.29
7.93	0.71	3.78
7.74	6.13	3.76
7.97	11.92	3.65
16.61	45.12	3.21
14.56	18.98	2.94
9.96	0.62	3.75
7.18	0.00	3.86
7.29	0.82	3.96
6.20	14.62	3.92
13.73	35.35	4.08
9.99	5.98	3.58
8.57	11.00	3.78
6.90	1.57	3.90
5.89	11.31	4.04
5.18	1.27	4.12
7.73	11.47	4.18
4.82	6.54	3.97
5.22	12.74	4.13
4.61	10.43	3.96
16.40	46.51	3.89
16.97	16.08	3.21
11.45	6.72	3.31
10.57	19.97	3.53
8.50	12.79	3.65
7.25	26.54	3.28
6.35	2.09	2.91
7.34	3.94	3.48
7.06	4.33	3.47
5.71	1.69	3.53
4.94	13.02	3.45
7.87	13.06	3.51
13.42	18.74	3.31
6.91	4.79	3.44
10.42	6.98	3.51
8.10	6.58	3.43
7.74	7.06	3.11
6.51	4.67	3.47
7.26	2.86	3.74
5.91	0.28	3.77
4.52	0.33	3.80
4.35	2.64	3.66
4.54	4.89	3.41
4.69	6.26	3.57
6.32	20.27	3.34
6.36	0.78	3.68
5.30	0.46	3.74
5.13	7.07	3.83
5.62	2.06	3.86
4.54	6.98	3.53
5.05	8.08	3.50
6.40	7.90	3.13
10.52	28.21	2.97
6.71	3.59	3.58
5.67	1.81	3.70
5.23	5.39	3.81
5.87	13.51	3.22
3.94	10.55	3.26
6.55	47.99	2.95
8.37	4.59	3.25
5.48	0.00	3.34
4.82	4.65	3.32
6.39	7.79	3.71
4.01	1.74	3.32
3.97	0.85	3.67
3.42	0.00	4.05
3.10	0.00	3.89
3.06	0.00	3.97
2.66	0.00	3.92
3.30	0.00	4.09
2.52	0.59	3.76
5.47	5.71	3.68
3.14	0.00	3.58
2.48	0.00	3.97
2.53	0.00	4.10
2.23	0.00	3.93
2.34	0.00	4.03
2.23	0.00	3.96
2.08	0.00	3.41
1.91	0.98	3.32
2.11	0.13	3.31
2.17	0.00	3.60
2.17	0.00	3.62
2.27	0.00	4.07
1.98	0.00	4.24
2.14	0.00	4.32
2.02	0.51	4.30
1.80	1.29	4.27
1.37	0.00	4.15
1.36	0.00	3.91
1.31	0.00	3.86
1.34	0.00	3.70
1.32	0.99	3.43
1.22	0.00	3.87
1.37	0.00	4.23
1.28	0.00	4.28
1.24	0.00	4.24
1.27	0.00	4.09
1.18	0.00	4.08
1.12	0.00	3.98
1.18	0.00	3.71
1.27	0.10	3.64
1.24	0.00	3.44
1.21	0.00	3.41
1.34	0.00	3.47
0.87	0.00	3.68
0.89	0.00	3.70
1.09	0.00	3.89
1.03	0.00	3.72
1.33	0.00	3.90
1.13	0.00	4.00
1.15	0.00	4.06
1.08	0.00	3.92
0.95	0.00	3.90
0.94	0.00	3.93
0.98	0.00	3.88
0.95	0.00	3.99
1.02	0.00	3.94
0.98	0.00	3.93
1.02	0.00	4.02
0.94	0.00	3.98
0.91	0.00	4.16
0.99	0.00	3.97
0.86	0.00	4.04
0.90	0.00	4.16
0.90	0.00	4.07
0.91	0.00	4.15
0.87	0.00	4.01
0.85	0.00	3.98
0.79	0.00	3.74
0.83	0.00	3.64
0.84	0.00	3.71
0.86	0.00	3.86
0.84	0.00	3.98
0.82	0.00	4.00
0.82	0.00	3.93
0.79	0.00	3.89
0.87	0.00	3.92
0.81	0.00	4.07
0.77	0.00	4.07
0.77	0.00	3.96
0.75	0.00	4.10
0.76	0.00	4.28
0.73	0.00	4.27
0.72	0.00	4.23
0.73	0.00	4.06
0.73	0.00	3.78
0.75	0.00	3.40
0.91	0.00	4.13
0.79	0.00	4.63
0.73	0.00	4.69
0.77	0.00	4.56
0.73	0.00	4.58
0.72	0.00	4.50
0.54	0.00	4.34
0.62	0.00	4.25
0.61	0.00	4.40
0.48	0.00	4.66
0.52	0.00	4.67
0.48	0.00	4.56
0.41	0.00	4.75
0.43	0.00	4.71
0.54	0.00	4.73
0.46	0.00	4.68
0.46	0.00	4.79
0.52	0.00	4.84
0.43	0.00	4.82
0.52	0.00	4.87
0.35	0.00	4.86
0.35	0.00	5.12
0.37	0.00	5.23
0.46	0.00	4.95
0.37	0.00	4.94
0.33	0.00	4.92
0.35	0.00	4.97
0.46	0.00	4.91
0.36	0.00	4.89
0.39	0.00	4.99
0.38	0.00	5.02
0.31	0.00	4.99
0.37	0.00	4.94
0.31	0.00	4.87
0.26	0.00	4.94
0.26	0.00	4.82
0.29	0.00	4.71
0.38	0.00	4.73
0.31	0.00	4.81
0.29	0.00	4.80
0.29	0.00	4.78
0.26	0.00	4.89
0.30	0.00	5.01
0.26	0.00	4.80
0.25	0.00	4.92
0.24	0.00	4.88
0.24	0.00	4.85
0.24	0.00	4.90
0.24	0.00	4.90
0.23	0.00	4.91
0.22	0.00	4.96
0.22	0.00	4.85
0.24	0.00	4.88
0.22	0.00	4.96
0.22	0.00	4.84
0.22	0.00	4.94
0.22	0.00	5.03
0.22	0.00	4.99
0.20	2.45	4.70
0.24	3.67	4.85
0.96	4.59	4.70
1.51	3.15	4.62
1.25	3.27	4.34
0.95	3.45	4.71
1.39	1.73	4.43
1.47	0.16	4.78
0.75	5.81	4.65
0.90	0.61	4.80
1.51	1.04	4.82
1.55	0.16	4.67
1.68	0.89	4.88
1.39	0.24	4.96
1.24	0.58	4.90
0.79	3.25	4.91
0.98	4.80	4.99
2.32	7.70	4.98
1.73	0.00	4.63
0.90	2.09	4.85
0.85	0.00	4.93
0.72	0.00	4.98
0.62	0.00	5.09
0.49	0.20	5.29
0.43	4.25	5.18
0.61	5.90	5.19
0.68	13.34	4.81
0.79	13.62	4.22
0.91	9.74	4.54
1.20	0.39	4.67
0.82	0.00	4.48
0.79	0.10	4.51
0.78	0.05	4.94
0.77	0.00	4.42
0.77	0.75	4.64
0.78	1.12	4.72
0.69	0.00	4.85
0.54	0.00	4.99
0.56	0.00	5.11
0.48	0.00	5.02
0.49	0.00	4.95
0.49	0.00	4.94
0.71	1.96	4.83
0.79	0.00	4.62
0.79	2.94	4.84
0.78	0.49	4.93
0.78	0.90	4.76
0.81	0.16	4.75
0.86	5.85	4.80
0.88	0.00	5.00
0.70	0.00	4.73
0.67	0.00	4.68
0.63	0.00	4.80
0.63	0.13	4.83
0.55	0.00	4.76
0.62	0.00	4.69
0.62	0.00	4.92
0.56	0.00	4.91
0.59	0.00	4.97
0.48	0.75	4.91
0.39	0.37	4.75
0.42	5.70	4.68
0.56	14.55	4.14
0.70	12.59	3.85
0.79	16.28	4.14
0.87	6.35	4.01
0.74	2.52	3.96
0.72	0.49	4.07
0.69	7.41	4.20
0.68	2.42	4.27
0.70	3.04	4.31
0.98	4.18	4.16
1.09	4.59	4.10
0.71	2.68	4.18
0.70	0.46	4.37
0.59	1.33	4.40
0.69	0.00	4.55
0.67	0.05	4.68
0.62	0.00	4.66
